"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_0",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","forces, armed, armed forces, honor, service, space, force, veterans, military, commander"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_1",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_2",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","china, deal, think, korea, lot, president, north korea, going, mr, north"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_3",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","justice, court, judge, president, supreme court, think, supreme, well, democrats, look"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_4",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","applause, thank, women, laughter, thank much, god, much, great, life, drug"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_5",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","fema, storm, hurricane, governor, president, well, going, inaudible, think, florida"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_6",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","senator, representative, mr, border, bill, flavors, think, president, going, want"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_7",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","think, wall, lot, going, look, china, like, see, president, people"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_8",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","enforcement, law enforcement, police, law, officers, border, men women, sheriff, crime, men"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_9",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","faith, religious, god, prayer, church, freedom, every, people, said, world"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_10",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","business, businesses, small, tax, jobs, manufacturing, mr, american, small businesses, america"
"orban_speeches.rds_topic_0","trump_speeches.rds_topic_11",NA,"polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk","indiana, applause, tax, west virginia, virginia, west, kentucky, state, america, trump"
