"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"modi_speeches.rds_topic_0","milei_speeches.rds_topic_0",0.554310189641837,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va"
"modi_speeches.rds_topic_0","milei_speeches.rds_topic_1",0.590575131100101,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer"
"modi_speeches.rds_topic_0","milei_speeches.rds_topic_2",0.560590215344476,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina"
"modi_speeches.rds_topic_0","milei_speeches.rds_topic_3",0.484290305870435,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","fuerzas, fuerzas armadas, armadas, delito, seguridad, argentina, italia, ustedes, presidente, gracias"
"modi_speeches.rds_topic_0","milei_speeches.rds_topic_4",0.622215520969826,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","entonces, libertad, además, si, ideas, argentina, decir, solo, hacer, mundo"
"modi_speeches.rds_topic_0","milei_speeches.rds_topic_5",0.512590283185511,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","libertad, digamos, si, digo, argentina, decir, problema, entonces, ustedes, ser"
"modi_speeches.rds_topic_0","milei_speeches.rds_topic_6",0.410976323908053,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","israel, holocausto, terrorismo, pueblo, judío, pueblo judío, museo, silencio, secuestrados, atentado"
"modi_speeches.rds_topic_0","milei_speeches.rds_topic_7",0.531224637939357,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","argentinos, país, política, ciento, nación, años, libertad, ley, argentina, naciones"
"modi_speeches.rds_topic_0","milei_speeches.rds_topic_8",0.562898838063839,"japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency","mundo, ideas, occidente, si, wokismo, libertad, cpac, política, instituciones, solo"
"modi_speeches.rds_topic_1","milei_speeches.rds_topic_0",0.73426012983711,"ki baat, baat, mann ki, mann, ki, countrymen, dear countrymen, dear, ji, many","dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va"
"modi_speeches.rds_topic_1","milei_speeches.rds_topic_1",0.797760533286234,"ki baat, baat, mann ki, mann, ki, countrymen, dear countrymen, dear, ji, many","sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer"
"modi_speeches.rds_topic_1","milei_speeches.rds_topic_2",0.691901432068371,"ki baat, baat, mann ki, mann, ki, countrymen, dear countrymen, dear, ji, many","si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina"
"modi_speeches.rds_topic_1","milei_speeches.rds_topic_3",0.67940143648489,"ki baat, baat, mann ki, mann, ki, countrymen, dear countrymen, dear, ji, many","fuerzas, fuerzas armadas, armadas, delito, seguridad, argentina, italia, ustedes, presidente, gracias"
"modi_speeches.rds_topic_1","milei_speeches.rds_topic_4",0.917124976662659,"ki baat, baat, mann ki, mann, ki, countrymen, dear countrymen, dear, ji, many","entonces, libertad, además, si, ideas, argentina, decir, solo, hacer, mundo"
"modi_speeches.rds_topic_1","milei_speeches.rds_topic_5",0.616936359743155,"ki baat, baat, mann ki, mann, ki, countrymen, dear countrymen, dear, ji, many","libertad, digamos, si, digo, argentina, decir, problema, entonces, ustedes, ser"
"modi_speeches.rds_topic_1","milei_speeches.rds_topic_6",0.429149354852071,"ki baat, baat, mann ki, mann, ki, countrymen, dear countrymen, dear, ji, many","israel, holocausto, terrorismo, pueblo, judío, pueblo judío, museo, silencio, secuestrados, atentado"
"modi_speeches.rds_topic_1","milei_speeches.rds_topic_7",0.666513113711506,"ki baat, baat, mann ki, mann, ki, countrymen, dear countrymen, dear, ji, many","argentinos, país, política, ciento, nación, años, libertad, ley, argentina, naciones"
"modi_speeches.rds_topic_1","milei_speeches.rds_topic_8",0.72646446879461,"ki baat, baat, mann ki, mann, ki, countrymen, dear countrymen, dear, ji, many","mundo, ideas, occidente, si, wokismo, libertad, cpac, política, instituciones, solo"
"modi_speeches.rds_topic_2","milei_speeches.rds_topic_0",0.332691651751455,"corona, vaccination, vaccines, vaccine, pandemic, lockdown, vaccinated, testing, oxygen, coronavirus","dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va"
"modi_speeches.rds_topic_2","milei_speeches.rds_topic_1",0.327911976948667,"corona, vaccination, vaccines, vaccine, pandemic, lockdown, vaccinated, testing, oxygen, coronavirus","sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer"
"modi_speeches.rds_topic_2","milei_speeches.rds_topic_2",0.310005011266168,"corona, vaccination, vaccines, vaccine, pandemic, lockdown, vaccinated, testing, oxygen, coronavirus","si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina"
"modi_speeches.rds_topic_2","milei_speeches.rds_topic_3",0.265551387820223,"corona, vaccination, vaccines, vaccine, pandemic, lockdown, vaccinated, testing, oxygen, coronavirus","fuerzas, fuerzas armadas, armadas, delito, seguridad, argentina, italia, ustedes, presidente, gracias"
"modi_speeches.rds_topic_2","milei_speeches.rds_topic_4",0.339440923329587,"corona, vaccination, vaccines, vaccine, pandemic, lockdown, vaccinated, testing, oxygen, coronavirus","entonces, libertad, además, si, ideas, argentina, decir, solo, hacer, mundo"
"modi_speeches.rds_topic_2","milei_speeches.rds_topic_5",0.27897684591328,"corona, vaccination, vaccines, vaccine, pandemic, lockdown, vaccinated, testing, oxygen, coronavirus","libertad, digamos, si, digo, argentina, decir, problema, entonces, ustedes, ser"
"modi_speeches.rds_topic_2","milei_speeches.rds_topic_6",0.22970080406509,"corona, vaccination, vaccines, vaccine, pandemic, lockdown, vaccinated, testing, oxygen, coronavirus","israel, holocausto, terrorismo, pueblo, judío, pueblo judío, museo, silencio, secuestrados, atentado"
"modi_speeches.rds_topic_2","milei_speeches.rds_topic_7",0.28273585157696,"corona, vaccination, vaccines, vaccine, pandemic, lockdown, vaccinated, testing, oxygen, coronavirus","argentinos, país, política, ciento, nación, años, libertad, ley, argentina, naciones"
"modi_speeches.rds_topic_2","milei_speeches.rds_topic_8",0.3062623413859,"corona, vaccination, vaccines, vaccine, pandemic, lockdown, vaccinated, testing, oxygen, coronavirus","mundo, ideas, occidente, si, wokismo, libertad, cpac, política, instituciones, solo"
"modi_speeches.rds_topic_3","milei_speeches.rds_topic_0",0.665784650312279,"नह, हम, एक, सकत, उसक, बह, आप, कह, बड, यह","dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va"
"modi_speeches.rds_topic_3","milei_speeches.rds_topic_1",0.708015007562554,"नह, हम, एक, सकत, उसक, बह, आप, कह, बड, यह","sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer"
"modi_speeches.rds_topic_3","milei_speeches.rds_topic_2",0.67329955457774,"नह, हम, एक, सकत, उसक, बह, आप, कह, बड, यह","si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina"
"modi_speeches.rds_topic_3","milei_speeches.rds_topic_3",0.575529667527202,"नह, हम, एक, सकत, उसक, बह, आप, कह, बड, यह","fuerzas, fuerzas armadas, armadas, delito, seguridad, argentina, italia, ustedes, presidente, gracias"
"modi_speeches.rds_topic_3","milei_speeches.rds_topic_4",0.731540158318071,"नह, हम, एक, सकत, उसक, बह, आप, कह, बड, यह","entonces, libertad, además, si, ideas, argentina, decir, solo, hacer, mundo"
"modi_speeches.rds_topic_3","milei_speeches.rds_topic_5",0.617600451363052,"नह, हम, एक, सकत, उसक, बह, आप, कह, बड, यह","libertad, digamos, si, digo, argentina, decir, problema, entonces, ustedes, ser"
"modi_speeches.rds_topic_3","milei_speeches.rds_topic_6",0.500708376672897,"नह, हम, एक, सकत, उसक, बह, आप, कह, बड, यह","israel, holocausto, terrorismo, pueblo, judío, pueblo judío, museo, silencio, secuestrados, atentado"
"modi_speeches.rds_topic_3","milei_speeches.rds_topic_7",0.63934561368552,"नह, हम, एक, सकत, उसक, बह, आप, कह, बड, यह","argentinos, país, política, ciento, nación, años, libertad, ley, argentina, naciones"
"modi_speeches.rds_topic_3","milei_speeches.rds_topic_8",0.674796750991952,"नह, हम, एक, सकत, उसक, बह, आप, कह, बड, यह","mundo, ideas, occidente, si, wokismo, libertad, cpac, política, instituciones, solo"
"modi_speeches.rds_topic_4","milei_speeches.rds_topic_0",0.541045934379126,"speaker, mr speaker, mr, ble, hon ble, hon, ble mr, speaker sir, chairman, house","dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va"
"modi_speeches.rds_topic_4","milei_speeches.rds_topic_1",0.574173078992154,"speaker, mr speaker, mr, ble, hon ble, hon, ble mr, speaker sir, chairman, house","sector, si, país, argentina, decir, ser, ustedes, campo, vamos, hacer"
"modi_speeches.rds_topic_4","milei_speeches.rds_topic_2",0.576010091076758,"speaker, mr speaker, mr, ble, hon ble, hon, ble mr, speaker sir, chairman, house","si, decir, año, mercado, hacer, entonces, dólares, realidad, ustedes, argentina"
"modi_speeches.rds_topic_4","milei_speeches.rds_topic_3",0.46463342767138,"speaker, mr speaker, mr, ble, hon ble, hon, ble mr, speaker sir, chairman, house","fuerzas, fuerzas armadas, armadas, delito, seguridad, argentina, italia, ustedes, presidente, gracias"
"modi_speeches.rds_topic_4","milei_speeches.rds_topic_4",0.567812192873798,"speaker, mr speaker, mr, ble, hon ble, hon, ble mr, speaker sir, chairman, house","entonces, libertad, además, si, ideas, argentina, decir, solo, hacer, mundo"
"modi_speeches.rds_topic_4","milei_speeches.rds_topic_5",0.512871688748934,"speaker, mr speaker, mr, ble, hon ble, hon, ble mr, speaker sir, chairman, house","libertad, digamos, si, digo, argentina, decir, problema, entonces, ustedes, ser"
"modi_speeches.rds_topic_4","milei_speeches.rds_topic_6",0.436786017603144,"speaker, mr speaker, mr, ble, hon ble, hon, ble mr, speaker sir, chairman, house","israel, holocausto, terrorismo, pueblo, judío, pueblo judío, museo, silencio, secuestrados, atentado"
"modi_speeches.rds_topic_4","milei_speeches.rds_topic_7",0.531365241647157,"speaker, mr speaker, mr, ble, hon ble, hon, ble mr, speaker sir, chairman, house","argentinos, país, política, ciento, nación, años, libertad, ley, argentina, naciones"
"modi_speeches.rds_topic_4","milei_speeches.rds_topic_8",0.543415939502238,"speaker, mr speaker, mr, ble, hon ble, hon, ble mr, speaker sir, chairman, house","mundo, ideas, occidente, si, wokismo, libertad, cpac, política, instituciones, solo"
