"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_0",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","forces, armed, armed forces, honor, service, space, force, veterans, military, commander"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_1",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_2",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","china, deal, think, korea, lot, president, north korea, going, mr, north"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_3",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","justice, court, judge, president, supreme court, think, supreme, well, democrats, look"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_4",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","applause, thank, women, laughter, thank much, god, much, great, life, drug"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_5",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","fema, storm, hurricane, governor, president, well, going, inaudible, think, florida"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_6",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","senator, representative, mr, border, bill, flavors, think, president, going, want"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_7",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","think, wall, lot, going, look, china, like, see, president, people"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_8",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","enforcement, law enforcement, police, law, officers, border, men women, sheriff, crime, men"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_9",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","faith, religious, god, prayer, church, freedom, every, people, said, world"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_10",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","business, businesses, small, tax, jobs, manufacturing, mr, american, small businesses, america"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_11",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","indiana, applause, tax, west virginia, virginia, west, kentucky, state, america, trump"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_12",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","venezuela, hispanic, hemisphere, maduro, venezuelan, freedom, people venezuela, regime, nations, venezuelan people"
"meloni_speeches.rds_topic_0","trump_speeches.rds_topic_13",NA,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","go ahead, ahead, think, president, going, well, mr president, go, democrats, president well"
