"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_0",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_1",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","semlegesség, gazdasági, miniszter, magyarország, gazdasági semlegesség, tisztelt, önök, úr, elnökség, elnök"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_2",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","járvány, vírus, egészségügyi, járványügyi, operatív, védekezés, ugye, vakcina, nagyon, orvosok"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_3",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","tisztelt hölgyeim, hölgyeim, hölgyeim uraim, uraim, tisztelt, magyar, 2010, önök, amely, azt"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_4",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","ünneplők, tisztelt ünneplők, szabadság, 1956, 56, magyarok, petőfi, szovjet, 1848, nemzet"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_5",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","ők, uniós, európai, én, emberek, például, ezt, ott, unió, ugye"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_6",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","tisztelt hölgyeim, duna, uraim, hölgyeim, hölgyeim uraim, hungarian, kínai, tisztelt, nyugati, világ"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_7",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","háború, ebből háborúból, béke, háborúból, nato, tűzszünet, háborúban, háborús, ukrajna, biztonságát"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_8",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","alkotmány, amikor, tisztelt hölgyeim, talán, politikai, hölgyeim, uraim, hölgyeim uraim, volt, ilyen"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_9",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","szerb, szerbia, szerbiában, vučić, szerbek, albánia, vučić miniszterelnök, szerb magyar, szerbiának, miniszterelnök"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_10",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","ugye, egyébként, emberek, én, ön, például, ezt, kell, szerintem, erről"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_11",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","olimpiai, sport, puskás, futball, olimpia, mtk, magyar sport, magyar futball, öcsi, olimpián"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_12",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","védekezés, árhullám, legmagasabb, víz, homokzsákot, vízügyesek, vízszint, védekezésben, kilométeren, apadás"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_13",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","képviselőtársaim, tisztelt ház, tisztelt képviselőtársaim, ház, ezer, tájékoztatom, tisztelt, tisztelt elnök, milliárd, kormány"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_14",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","georgia, georgiai, arab, belarusz, miniszterelnök, bolgár magyar, bolgár, két ország, itt élő, önök"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_15",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","bayer, bayer zsolt, zsolt, nagyon, én, földi kovács, orbán, kovács andrea, miniszterelnök úr, földi"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_16",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","egyiptom, egyiptomi, elnök, szíszi, szíszi elnök, elnök úr, mi lett, india, elnök úrnak, egyiptomban"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_17",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","nyugdíjasok, nyugdíjakat, alkotmánybíróság, költségvetést, beoltva, elején, volt konzultáció, évben, következő, 10 000"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_18",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","nyugdíjprémium, békéscsaba, amerikai, 2030, nyugdíjasok, ipari, rosenberger, talán, 2018, arra"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_19",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","2015, gazdasági, növekedés, államreform, kal, hatósági, bérekről, kormány, azok, önöknek"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_20",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","lengyel, közép európát, lengyelország, lengyelek, morawiecki, közép, olyan közép, lengyel megközelítést, visegrad, új szempont"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_21",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","kertész, nobel, kertész imre, mária, múzeum, imre, kulturális, kertész imrét, balkáni, szépművészeti"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_22",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","ukrajna, 2023, 2023 év, ukrajnáról, alapon áll, tűzszünet, beszélnek ukrajnáról, meg 2023, itt brüsszel, nato"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_23",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","progresszív, barátaim, kedves, kedves barátaim, konzervatív, progresszívek, amerikai barátaink, kedves amerikai, nyugati, woke"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_24",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","református, kedves cserkészek, cserkészek, gyülekezet, isten, eskütevők, református gimnázium, németajkú, magyar cserkészszövetség, cserkészszövetség"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_25",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","török, törökország, török magyar, türk, erdoğan, mélyen tisztelt, erdoğan elnök, elnök, törökországban, mélyen"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_26",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","alkotmány, alkotmányos, csatári, ügyészség, legfőbb ügyész, ügyész, legfőbb, történeti, tézisünk, vélem"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_27",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","írország, cape verde, cape, verde, rendben vannak, shall, miniszterelnök, akarnak akik, rendben, miniszterelnök úrnak"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_28",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","szlovén, szlovénia, muravidéki, tegyék naggyá, horvátországnak, horvátországi, szlavónia, bosznia, megtartották, horvátországban"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_29",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","vidék, 2023, széchenyi, nagyvállalkozások, mezőgazdaság, magyar mezőgazdaság, milliárd, kártya, széchenyi kártya, milliárd forintot"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_30",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","szlovákia, robert, szlovák, fico, fico miniszterelnök, kedves robert, miniszterelnök úrnak, két ország, miniszterelnök, robert fico"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_31",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","ensz, megbetegedések, védelemre, ugye, érdekével, osztrák, migráció, kell törődni, ön, ellentétes"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_32",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","lezsák, keresztény, keresztények, lezsák sándor, kitüntetést, üldözött, világnak meg, lengyel, lengyel magyar, juttatjuk el"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_33",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","három napban, katasztrófavédelmi, menekültek, mostaninál nagyobb, katasztrófavédelmi szakemberek, emberrel védjük, rendőrök katasztrófavédelmi, minden bajbajutottnak, bajbajutottnak segítséget, bajbajutottnak"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_34",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","oroszország, szellemi, putyin, orosz, neveléséről, szivárványos, szexuális, oroszországot, porosenko, laschet"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_35",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","béke, trump elnök, egyetértés volt, trump, találkozóm, találkozóm donald, béke volt, úrral trump, tűzszünet béketárgyalás, békét"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_36",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","millió forint, diaszpóra, progresszív liberális, egyesült, progresszív, svájci, választási ciklus, liberális, weltwoche, diaszpórában"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_37",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","emberibb, 68, kommunizmus, tőkés, új közös, közép, 1989 ben, tisztelt ünneplők, ünneplők, önök elnökével"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_38",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","liberális, püspök, keresztény, ötszáz, illiberális, pápai lajos, protestáns, demokrácia, pápai, liberális demokrácia"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_39",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","osztrák, ausztria, kurz, kancellár, migráció, ön, liberális, bécs, kérdésében, sebastian kurz"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_40",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","izrael, izrael állam, izraeli, netanjahu, netanjahu miniszterelnök, miniszterelnök, zsidó, olyan jövőt, miniszterelnök úr, israel"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_41",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","kínai, kína, kínai népköztársaság, népköztársaság, mi tizenhatan, tizenhatan, kínai vállalatok, közép, china, bank china"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_42",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","pénzintézetek, oroszországból, olajra, korrupcióval, oroszországból érkezik, gázra, vasárnapi, nyugalomra, drágább, bankrendszer"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_43",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","fiatalok, rátok, tisztelt diákok, diákok, tisztelt fiatalok, szakma, szakmát, vár rátok, szakmunka, oktatók"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_44",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","gyászoló, géza, te, voltál, gyászoló gyülekezet, tisztelt gyászoló, jenő, gyászoló család, buzánszky, gyülekezet"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_45",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","századvég, csapda, voltunk, tulajdon, csapdája, 1985, folyóirat, századvégnek, stumpf, liberálisok"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_46",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","klebelsberg, hivatást, kultúrpolitika, tisztelt eskütevők, rend, eskütevők, magyar kultúrpolitika, ilyesféle, rend béke, rendészettudományi"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_47",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","tudományos, competitiveness, magyar tudományos, akadémia, tudományos akadémia, economic, tudomány, countries, agree, tudomány politika"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_48",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","nyíregyháza, nyíregyházán, szlovén, kállay, nyíregyháziak, nyíregyházi, nyíregyházának, szlovénia, adnánk, szlovén magyar"
"milei_speeches.rds_topic_0","orban_speeches.rds_topic_49",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","gfg, orbán viktor, viktor, orbán, rmdsz, vajdaságban, fidesz, lázadás, bizalom, román"
