"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_0",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","forces, armed, armed forces, honor, service, space, force, veterans, military, commander"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_1",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_2",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","china, deal, think, korea, lot, president, north korea, going, mr, north"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_3",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","justice, court, judge, president, supreme court, think, supreme, well, democrats, look"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_4",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","applause, thank, women, laughter, thank much, god, much, great, life, drug"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_5",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","fema, storm, hurricane, governor, president, well, going, inaudible, think, florida"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_6",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","senator, representative, mr, border, bill, flavors, think, president, going, want"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_7",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","think, wall, lot, going, look, china, like, see, president, people"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_8",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","enforcement, law enforcement, police, law, officers, border, men women, sheriff, crime, men"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_9",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","faith, religious, god, prayer, church, freedom, every, people, said, world"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_10",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","business, businesses, small, tax, jobs, manufacturing, mr, american, small businesses, america"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_11",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","indiana, applause, tax, west virginia, virginia, west, kentucky, state, america, trump"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_12",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","venezuela, hispanic, hemisphere, maduro, venezuelan, freedom, people venezuela, regime, nations, venezuelan people"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_13",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","go ahead, ahead, think, president, going, well, mr president, go, democrats, president well"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_14",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","applause, laughter, audience, said, right, years, never, know, say, going"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_15",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","space, nasa, moon, astronauts, national space, space council, exploration, council, american leadership, mars"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_16",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","florida, governor, georgia, south carolina, desantis, governor desantis, south, state, miller, carolina"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_17",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","much, panama, thank, many, want, people, thank much, world, baghdadi, mr"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_18",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","governor elect, thank, elect, luis, applause, school, cuban, governor, catalent, vice president"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_19",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","governor, texas, governor abbott, governor reynolds, reynolds, abbott, governor polis, polis, governor burgum, burgum"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_20",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","border, wall, patrol, mexico, agent, want, asylum, people, crisis, chavez"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_21",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","wisconsin, minnesota, applause, north dakota, american, kenosha, dakota, jobs, america, school"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_22",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","coach, team, game, laughter, season, football, fans, mr, champions, guys"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_23",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","pennsylvania, tax, applause, company, jobs, american, people pennsylvania, manufacturing, keystone state, america"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_24",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","jack, tiger, water, army, ryun, applause, jack kemp, elvis, kemp, thank"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_25",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","nato, alliance, allies, united, united states, europe, states, australia, defense, european"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_26",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","iowa, reynolds, ethanol, blum, applause, nebraska, trade, farmers, people iowa, governor reynolds"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_27",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","michigan, jobs, people michigan, american, applause, manufacturing, steel, america, workers, state michigan"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_28",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","israel, jewish, state israel, jewish people, peace, jerusalem, israel applause, stand israel, israeli, anti"
"milei_speeches.rds_topic_0","trump_speeches.rds_topic_29",NA,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","drug, insulin, drugs, prices, price, patients, medicare, seniors, guns, mental"
