"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_0",0.849060058233348,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_1",0.585930707348042,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","deus, vida, vou, pessoas, onde, verdade, família, lá, tudo, deus coração"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_2",0.892930201236383,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","governador, barbalho, caixa, imposto, paraná, prezado, aqui, estado, todos, amigos"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_3",0.765423236214,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","todos, minas gerais, gerais, tarcísio, minas, brasil, aqui, obviamente, estado, satisfação"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_4",0.619589281214868,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","exército, comandante, comandante exército, general, exército brasileiro, militar, pujol, senhores, forças, generais"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_5",0.63268761203602,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","cada, hoje, caiado, todos, paulo guedes, guedes, outro, liberdade, brasil hoje, dia"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_6",0.621357353144907,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","direitos, brasil, cubano, nações, deus, humanos, cubana, imprensa, nações unidas, unidas"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_7",0.49557402651311,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","tereza cristina, cristina, tereza, questão, inmetro, agricultura, então, coisa, verdade, passado"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_8",0.81327394184723,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","sacrifício própria, própria vida, servidor, vida, própria, forças, cadetes, 19 93, recebeu 19, servidores"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_9",0.61948826976252,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","mercosul, bloco, senhoras senhores, josé múcio, múcio, josé, senhoras, acordos, reformas, mario abdo"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_10",0.783992821146907,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","piauí, mão santa, povo, parnaíba, tudo, brasil povo, grande, acima, nordeste, brasil"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_11",0.463056130520833,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","toffoli, dias toffoli, levi, jorge, prezado dias, excelência, sentido, vossa excelência, noronha, prezado"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_12",0.79666088160721,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","questão, terno, gente, lá, jorge seif, seif, jorge, então, informação, caiado"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_13",0.720906320811328,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","ceagesp, moretti, 2018, sergipe, vida, bem, lado, bala, obviamente, sempre"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_14",0.465967482635355,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","amazônia, governador, república jair, estado, governadores, sr, jair bolsonaro, presidente, fundo amazônia, então"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_15",0.925073828845064,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","decreto, fraga, arma, lupion, armas, defesa, peninha, senhor ministro, arma fogo, confiar"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_16",0.294129250524818,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","aeronáutica, aérea brasileira, aérea, força aérea, força, israel, comandante, comandante aeronáutica, alícia, prestam"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_17",0.846666329127207,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","brics, cooperação, empresarial, sociedades, temas, ndb, intervenções, inovação, vladimir putin, vladimir"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_18",0.830662729068056,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","marajó, damares, médicos, cubano, revalida, irmãos marajó, internet, pouco, carreiro, programa médicos"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_19",0.897473376485773,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","educação física, esporte, física, marcelo, preparo, preparo físico, veleiro, flávio rocha, exército, físico"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_20",0.697050141691757,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","renan, médico, vacina, flávia arruda, renan calheiros, flávia, titular, arruda, calheiros, pessoas"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_21",0.942329296639026,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","moro, sergio moro, sergio, difícil parte, agressão, criar meios, rosângela, abriu mão, prezado sergio, esposas"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_22",0.375170736791663,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","pacheco, éder mauro, valentina, revolucionando, zequinha marinho, éder, agências, telefone, zequinha, obrigado"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_23",0.551697331295286,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","fórmula, chase, senhor chase, jornalista, carey, senhor, piñera, guaidó, chase carey, presidente"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_24",0.260112712534058,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","furlan, têm brasília, cunha lima, pandemia, grande, cunha, geraldo melo, aqui cima, cinquenta bilhões, vai meio"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_25",0.834289858795685,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","skaf, baleia, paulo skaf, prova, aspirantes, lembro, villas boas, ensino, paulo, justiça andré"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_26",0.811513256783374,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","pessoas falam, voz, instituto rio, formandos instituto, centenas, decisivos, trabalhem, sítio, minério, rio branco"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_27",0.829590224475069,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","icms, tá, cobra, preço, refinaria, km, fruticultura, cobrar icms, combustível, basta"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_28",0.826366409006172,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","paraguai, itaipu, cabo verde, binacional, brasil paraguai, itaipu binacional, presidente paraguai, visita, cabo, guiné"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_29",0.747562370878366,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","guerson, gente, centavos, paulo guedes, guedes, petrobras, pix, cara, paulo, tcu"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_30",0.521789921307959,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","ceará, iris, quero ir, caiado, aqui ceará, roraima, nesse estado, quero citar, deseducado, ninguém deseducado"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_31",0.856623739281059,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","italiana, origem italiana, protocolo pessoa, atlântico, pessoa importante, paraquedistas, paraquedista, joão pereira, brigada, senhor joão"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_32",0.924207477520388,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","colégio, colégio militar, professora, abril, escolas, escola, tá, militar, aluno, militares"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_33",0.906474489716648,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","abraham, educação, atender necessitados, regionais, planos, aprender coisas, regiões planos, cabeça branca, vilarejo, espera abraham"
"trump_speeches.rds_topic_0","bolsonaro_speeches.rds_topic_34",0.671022401117619,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","fausto, bb, daqui paulo, diesel, ida volta, endividou, cachorro quente, tá caro, vender cachorro, bb antecipa"
"trump_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_0",0.659104839181707,"dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going","vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia"
"trump_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_1",0.665208430925762,"dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going","deus, vida, vou, pessoas, onde, verdade, família, lá, tudo, deus coração"
"trump_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_2",0.574499648073919,"dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going","governador, barbalho, caixa, imposto, paraná, prezado, aqui, estado, todos, amigos"
"trump_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_3",0.699594001630849,"dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going","todos, minas gerais, gerais, tarcísio, minas, brasil, aqui, obviamente, estado, satisfação"
"trump_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_4",0.623332997285887,"dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going","exército, comandante, comandante exército, general, exército brasileiro, militar, pujol, senhores, forças, generais"
"trump_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_5",0.643094559403173,"dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going","cada, hoje, caiado, todos, paulo guedes, guedes, outro, liberdade, brasil hoje, dia"
"trump_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_6",0.65438839260018,"dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going","direitos, brasil, cubano, nações, deus, humanos, cubana, imprensa, nações unidas, unidas"
"trump_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_7",0.611779086163906,"dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going","tereza cristina, cristina, tereza, questão, inmetro, agricultura, então, coisa, verdade, passado"
"trump_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_8",0.682031098944316,"dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going","sacrifício própria, própria vida, servidor, vida, própria, forças, cadetes, 19 93, recebeu 19, servidores"
"trump_speeches.rds_topic_1","bolsonaro_speeches.rds_topic_9",0.71957306149972,"dr, testing, coronavirus, vaccine, think, tests, virus, test, birx, going","mercosul, bloco, senhoras senhores, josé múcio, múcio, josé, senhoras, acordos, reformas, mario abdo"
