"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_0",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","polgármester, város, polgármester úr, ipari, tisztelt hölgyeim, hölgyeim, hölgyeim uraim, városa, uraim, megállapodtunk"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_1",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","semlegesség, gazdasági, miniszter, magyarország, gazdasági semlegesség, tisztelt, önök, úr, elnökség, elnök"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_2",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","járvány, vírus, egészségügyi, járványügyi, operatív, védekezés, ugye, vakcina, nagyon, orvosok"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_3",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","tisztelt hölgyeim, hölgyeim, hölgyeim uraim, uraim, tisztelt, magyar, 2010, önök, amely, azt"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_4",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","ünneplők, tisztelt ünneplők, szabadság, 1956, 56, magyarok, petőfi, szovjet, 1848, nemzet"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_5",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","ők, uniós, európai, én, emberek, például, ezt, ott, unió, ugye"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_6",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","tisztelt hölgyeim, duna, uraim, hölgyeim, hölgyeim uraim, hungarian, kínai, tisztelt, nyugati, világ"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_7",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","háború, ebből háborúból, béke, háborúból, nato, tűzszünet, háborúban, háborús, ukrajna, biztonságát"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_8",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","alkotmány, amikor, tisztelt hölgyeim, talán, politikai, hölgyeim, uraim, hölgyeim uraim, volt, ilyen"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_9",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","szerb, szerbia, szerbiában, vučić, szerbek, albánia, vučić miniszterelnök, szerb magyar, szerbiának, miniszterelnök"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_10",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","ugye, egyébként, emberek, én, ön, például, ezt, kell, szerintem, erről"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_11",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","olimpiai, sport, puskás, futball, olimpia, mtk, magyar sport, magyar futball, öcsi, olimpián"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_12",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","védekezés, árhullám, legmagasabb, víz, homokzsákot, vízügyesek, vízszint, védekezésben, kilométeren, apadás"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_13",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","képviselőtársaim, tisztelt ház, tisztelt képviselőtársaim, ház, ezer, tájékoztatom, tisztelt, tisztelt elnök, milliárd, kormány"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_14",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","georgia, georgiai, arab, belarusz, miniszterelnök, bolgár magyar, bolgár, két ország, itt élő, önök"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_15",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","bayer, bayer zsolt, zsolt, nagyon, én, földi kovács, orbán, kovács andrea, miniszterelnök úr, földi"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_16",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","egyiptom, egyiptomi, elnök, szíszi, szíszi elnök, elnök úr, mi lett, india, elnök úrnak, egyiptomban"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_17",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","nyugdíjasok, nyugdíjakat, alkotmánybíróság, költségvetést, beoltva, elején, volt konzultáció, évben, következő, 10 000"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_18",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","nyugdíjprémium, békéscsaba, amerikai, 2030, nyugdíjasok, ipari, rosenberger, talán, 2018, arra"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_19",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","2015, gazdasági, növekedés, államreform, kal, hatósági, bérekről, kormány, azok, önöknek"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_20",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","lengyel, közép európát, lengyelország, lengyelek, morawiecki, közép, olyan közép, lengyel megközelítést, visegrad, új szempont"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_21",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","kertész, nobel, kertész imre, mária, múzeum, imre, kulturális, kertész imrét, balkáni, szépművészeti"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_22",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","ukrajna, 2023, 2023 év, ukrajnáról, alapon áll, tűzszünet, beszélnek ukrajnáról, meg 2023, itt brüsszel, nato"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_23",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","progresszív, barátaim, kedves, kedves barátaim, konzervatív, progresszívek, amerikai barátaink, kedves amerikai, nyugati, woke"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_24",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","református, kedves cserkészek, cserkészek, gyülekezet, isten, eskütevők, református gimnázium, németajkú, magyar cserkészszövetség, cserkészszövetség"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_25",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","török, törökország, török magyar, türk, erdoğan, mélyen tisztelt, erdoğan elnök, elnök, törökországban, mélyen"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_26",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","alkotmány, alkotmányos, csatári, ügyészség, legfőbb ügyész, ügyész, legfőbb, történeti, tézisünk, vélem"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_27",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","írország, cape verde, cape, verde, rendben vannak, shall, miniszterelnök, akarnak akik, rendben, miniszterelnök úrnak"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_28",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","szlovén, szlovénia, muravidéki, tegyék naggyá, horvátországnak, horvátországi, szlavónia, bosznia, megtartották, horvátországban"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_29",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","vidék, 2023, széchenyi, nagyvállalkozások, mezőgazdaság, magyar mezőgazdaság, milliárd, kártya, széchenyi kártya, milliárd forintot"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_30",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","szlovákia, robert, szlovák, fico, fico miniszterelnök, kedves robert, miniszterelnök úrnak, két ország, miniszterelnök, robert fico"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_31",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","ensz, megbetegedések, védelemre, ugye, érdekével, osztrák, migráció, kell törődni, ön, ellentétes"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_32",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","lezsák, keresztény, keresztények, lezsák sándor, kitüntetést, üldözött, világnak meg, lengyel, lengyel magyar, juttatjuk el"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_33",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","három napban, katasztrófavédelmi, menekültek, mostaninál nagyobb, katasztrófavédelmi szakemberek, emberrel védjük, rendőrök katasztrófavédelmi, minden bajbajutottnak, bajbajutottnak segítséget, bajbajutottnak"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_34",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","oroszország, szellemi, putyin, orosz, neveléséről, szivárványos, szexuális, oroszországot, porosenko, laschet"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_35",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","béke, trump elnök, egyetértés volt, trump, találkozóm, találkozóm donald, béke volt, úrral trump, tűzszünet béketárgyalás, békét"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_36",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","millió forint, diaszpóra, progresszív liberális, egyesült, progresszív, svájci, választási ciklus, liberális, weltwoche, diaszpórában"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_37",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","emberibb, 68, kommunizmus, tőkés, új közös, közép, 1989 ben, tisztelt ünneplők, ünneplők, önök elnökével"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_38",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","liberális, püspök, keresztény, ötszáz, illiberális, pápai lajos, protestáns, demokrácia, pápai, liberális demokrácia"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_39",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","osztrák, ausztria, kurz, kancellár, migráció, ön, liberális, bécs, kérdésében, sebastian kurz"
"meloni_speeches.rds_topic_0","orban_speeches.rds_topic_40",0,"coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni","izrael, izrael állam, izraeli, netanjahu, netanjahu miniszterelnök, miniszterelnök, zsidó, olyan jövőt, miniszterelnök úr, israel"
