"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_0",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_1",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","ki baat, baat, mann ki, mann, ki, countrymen, dear countrymen, dear, ji, many"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_2",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","corona, vaccination, vaccines, vaccine, pandemic, lockdown, vaccinated, testing, oxygen, coronavirus"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_3",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","नह, हम, एक, सकत, उसक, बह, आप, कह, बड, यह"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_4",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","speaker, mr speaker, mr, ble, hon ble, hon, ble mr, speaker sir, chairman, house"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_5",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","सरद, dear, countrymen, रत, रह, सरद हब, आज, रण, एकत, एक"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_6",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","diwali, festival, festivals, countrymen, dear, dear countrymen, one, people, deepawali, farmers"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_7",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","ai, india, technology, world, growth, million, consumer, global, conference, industry"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_8",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","gujarat, water, jamnagar, sisters, today, dairy, bharat, villages, brothers, used"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_9",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","tamil, tamil nadu, nadu, telangana, chennai, kerala, malaysia, kochi, projects, vanakkam"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_10",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","kashi, ji, somnath, manipur, tripura, space, scheme, city, also, banaras"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_11",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","farmers, farmer, food, farming, फसल, हम, सरक, उसक, एग, cooperative"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_12",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","budget, webinar, sector, private, infrastructure, year budget, tax, private sector, financial, government"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_13",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","start, start ups, ups, hackathon, digital, toys, exports, digital india, participant, skill"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_14",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","education, education policy, teacher, students, national education, teachers, student, policy, prime minister, prime"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_15",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","asean, singapore, india asean, asean india, partnership, excellencies, region, asia, pacific, summit"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_16",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","एक, हम, यह, वन, सम, आज, अर चल, रह, गर, नह"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_17",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","energy, solar, climate, green, hydrogen, ऊर, carbon, gas, green hydrogen, global"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_18",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","science, scientists, science technology, research, scientific, csir, biotech, technology, innovation, drdo"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_19",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","swami, maharaj, saints, buddha, pramukh, pramukh swami, lord, gurukul, swaminarayan, lord buddha"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_20",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","karnataka, kashi, himachal, surat, brothers, sisters, brothers sisters, projects, bhavnagar, double engine"
"milei_speeches.rds_topic_0","modi_speeches.rds_topic_21",0,"dinero, entonces, ustedes, si, inflación, decir, demanda, precios, problema, va","आपक, आप, एक, बच, रह, बह, यह, कल, बन, नह"
