"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_0",0.563709412121538,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","coesione, risorse, pnrr, fondi, qui, lavoro, territorio, euro, regioni, milioni"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_1",0.346302562706272,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","collega, deputati, italia, tema, applausi deputati, fratelli italia, applausi, fratelli, europea, dire"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_2",0.767767720262687,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","europeo, unione, europea, consiglio europeo, consiglio, europa, ue, unione europea, italia, ucraina"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_3",0.68276268657824,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","lombardia, giapponese, domanda, regione, balcani, g7, sgarbi, agricoltori, presidente meloni, meloni"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_4",0.562732343219843,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","pace, ucraina, deputati, libertà, deputati gruppo, gruppo, italia, fratelli, tema, fratelli italia"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_5",0.538491595513704,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","meloni, presidente meloni, cosa, quindi, presidente, fatto, fare, penso, anno, tema"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_6",0.766134344464167,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","cooperazione, albania, primo ministro, rama, presidente saied, ministro, centri, saied, tunisia, primo"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_7",0.562544988605685,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","energia, energetica, climatici, entro 2030, adattamento, entro, 2030, cambiamenti climatici, cari colleghi, clima"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_8",0.388968753787045,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","ucraina, zelensky, presidente zelensky, pace, ricostruzione, sostegno, comuni, futuro, sindaci, ucraino"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_9",0.5635528048369,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","domanda, presidente meloni, meloni, inaudibile, dibattito, inaudibile presidente, presidente, ieri, domanda presidente, passi"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_10",0.5804032737895,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","comparto, imprese, cibo, agroalimentare, impresa, made italy, made, italy, mondo produttivo, consumo"
"bolsonaro_speeches.rds_topic_0","meloni_speeches.rds_topic_11",0.316034411535856,"vai, questão, governo, países, gente, pessoas, mundo, região, país, pandemia","struttura missione, regia, apertura credito, cabina regia, cabina, struttura, metalli terre, metalli, direttiva, edifici"
