"A_topic","B_topic","cosine_similarity","topic_words_A","topic_words_B"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_0",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","japan, africa, cooperation, partnership, president, relations, kenya, india, security, excellency"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_1",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","ki baat, baat, mann ki, mann, ki, countrymen, dear countrymen, dear, ji, many"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_2",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","corona, vaccination, vaccines, vaccine, pandemic, lockdown, vaccinated, testing, oxygen, coronavirus"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_3",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","नह, हम, एक, सकत, उसक, बह, आप, कह, बड, यह"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_4",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","speaker, mr speaker, mr, ble, hon ble, hon, ble mr, speaker sir, chairman, house"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_5",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","सरद, dear, countrymen, रत, रह, सरद हब, आज, रण, एकत, एक"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_6",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","diwali, festival, festivals, countrymen, dear, dear countrymen, one, people, deepawali, farmers"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_7",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","ai, india, technology, world, growth, million, consumer, global, conference, industry"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_8",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","gujarat, water, jamnagar, sisters, today, dairy, bharat, villages, brothers, used"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_9",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","tamil, tamil nadu, nadu, telangana, chennai, kerala, malaysia, kochi, projects, vanakkam"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_10",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","kashi, ji, somnath, manipur, tripura, space, scheme, city, also, banaras"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_11",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","farmers, farmer, food, farming, फसल, हम, सरक, उसक, एग, cooperative"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_12",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","budget, webinar, sector, private, infrastructure, year budget, tax, private sector, financial, government"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_13",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","start, start ups, ups, hackathon, digital, toys, exports, digital india, participant, skill"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_14",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","education, education policy, teacher, students, national education, teachers, student, policy, prime minister, prime"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_15",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","asean, singapore, india asean, asean india, partnership, excellencies, region, asia, pacific, summit"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_16",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","एक, हम, यह, वन, सम, आज, अर चल, रह, गर, नह"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_17",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","energy, solar, climate, green, hydrogen, ऊर, carbon, gas, green hydrogen, global"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_18",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","science, scientists, science technology, research, scientific, csir, biotech, technology, innovation, drdo"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_19",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","swami, maharaj, saints, buddha, pramukh, pramukh swami, lord, gurukul, swaminarayan, lord buddha"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_20",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","karnataka, kashi, himachal, surat, brothers, sisters, brothers sisters, projects, bhavnagar, double engine"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_21",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","आपक, आप, एक, बच, रह, बह, यह, कल, बन, नह"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_22",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","brics, brics business, business council, brics countries, president, business, development bank, putin, excellencies, ndb"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_23",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","cdri, disaster, resilient, resilience, disasters, infrastructure, thanthi, 2021, madhya pradesh, madhya"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_24",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","sco, russia, putin, president putin, तथ, far east, kyrgyz, vladivostok, india russia, cooperation"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_25",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","assam, marathi, buddha, tb, सगढ, छत सगढ, north east, north, east, shri"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_26",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","ncc, cadets, defence, cadet, forces, ncc cadets, young, parade, mataram, vande mataram"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_27",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","justice, court, judiciary, courts, judicial, supreme court, legal, supreme, constitution, bar"
"trump_speeches.rds_topic_0","modi_speeches.rds_topic_28",0,"forces, armed, armed forces, honor, service, space, force, veterans, military, commander","vande bharat, trains, vande, metro, लव, train, railway, delhi, rail, railways"
